Volume_pre,Volume_post,Unnamed: 2,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
0.45905889,1.759725744,2.833333333,5.217491947,25,1,19,31,1,1
0.956372687,0.994627594,0.04,14.31223253,15,1,19,31,1,1
2.333549356,2.945627876,0.262295082,4.619293072,19,1,19,31,1,1
2.371804264,4.858373249,1.048387097,6.942099377,94,1,19,31,1,1
2.907372968,3.557706395,0.223684211,4.656995094,36,1,19,31,1,1
4.016765285,2.333549356,-0.419047619,4,52,1,19,31,1,1
5.929510659,5.546961584,-0.064516129,1.118033989,31,1,20,31,0,0
0.956372687,1.147647224,0.2,19.42260678,43,1,20,31,0,0
1.759725744,0.30603926,-0.826086957,8.780027841,25,1,20,31,0,0
2.448314078,3.902000563,0.59375,4.235383874,58,1,20,31,0,0
2.945627876,3.63421621,0.233766234,3.517664984,19,1,20,31,0,0
3.557706395,2.907372968,-0.182795699,3.378352454,36,1,20,31,0,0
5.546961584,5.623471399,0.013793103,2.288255036,31,1,21,31,0,0
0.30603926,0,-1,6.519202405,25,1,21,31,0,0
2.907372968,2.486568986,-0.144736842,3.040881748,36,1,21,31,0,0
3.902000563,1.721470836,-0.558823529,3.324440271,58,1,21,31,0,0
5.623471399,5.546961584,-0.013605442,1.201338127,31,1,22,31,0,0
1.721470836,0.267784352,-0.844444444,5.580610171,58,1,22,31,0,0
2.486568986,3.557706395,0.430769231,2.48264296,36,1,22,31,0,0
5.202667417,0.879862872,-0.830882353,8.169482933,52,1,22,31,0,0
5.546961584,3.519451488,-0.365517241,1.118033989,31,1,23,31,1,1
0.267784352,2.869118061,9.714285714,2.828427125,58,1,23,31,1,1
0.688588335,0,-1,4.206476488,63,1,23,31,1,1
0.879862872,0,-1,5.590169944,25,1,23,31,1,1
0.879862872,5.240922324,4.956521739,7.098043549,52,1,23,31,1,1
1.415431577,1.836235559,0.297297297,11.91097401,60,1,23,31,1,1
1.759725744,1.836235559,0.043478261,9.310161735,45,1,23,31,1,1
3.557706395,5.814745936,0.634408602,7.981332907,36,1,23,31,1,1
4.934883064,5.623471399,0.139534884,7.935853941,94,1,23,31,1,1
3.519451488,4.322804545,0.22826087,0.99380799,31,1,24,31,1,1
0.229529445,0.918117779,3,23.75394704,16,1,24,31,1,1
