Frames that have non-zero fusion/fission events (chunk-based):
Frame 342: Fussion_2 = 3, Fussion_1 = 1, Fission = 6
Frame 343: Fussion_2 = 4, Fussion_1 = 2, Fission = 6
Frame 344: Fussion_2 = 7, Fussion_1 = 1, Fission = 6
Frame 345: Fussion_2 = 3, Fussion_1 = 0, Fission = 4
Frame 346: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 347: Fussion_2 = 4, Fussion_1 = 0, Fission = 5
Frame 348: Fussion_2 = 3, Fussion_1 = 0, Fission = 3
Frame 349: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 350: Fussion_2 = 5, Fussion_1 = 2, Fission = 5
Frame 351: Fussion_2 = 5, Fussion_1 = 1, Fission = 7
Frame 352: Fussion_2 = 4, Fussion_1 = 3, Fission = 6
Frame 353: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 354: Fussion_2 = 3, Fussion_1 = 0, Fission = 6
Frame 355: Fussion_2 = 6, Fussion_1 = 2, Fission = 5
Frame 356: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 357: Fussion_2 = 3, Fussion_1 = 0, Fission = 5
Frame 358: Fussion_2 = 5, Fussion_1 = 3, Fission = 7
Frame 359: Fussion_2 = 5, Fussion_1 = 4, Fission = 9
Frame 360: Fussion_2 = 5, Fussion_1 = 0, Fission = 5
Frame 361: Fussion_2 = 5, Fussion_1 = 1, Fission = 6
Frame 362: Fussion_2 = 8, Fussion_1 = 1, Fission = 9
Frame 363: Fussion_2 = 5, Fussion_1 = 1, Fission = 6
Frame 364: Fussion_2 = 2, Fussion_1 = 7, Fission = 8
Frame 365: Fussion_2 = 7, Fussion_1 = 2, Fission = 11
Frame 366: Fussion_2 = 3, Fussion_1 = 3, Fission = 4
Frame 367: Fussion_2 = 5, Fussion_1 = 0, Fission = 6
Frame 368: Fussion_2 = 1, Fussion_1 = 0, Fission = 0
Frame 369: Fussion_2 = 9, Fussion_1 = 1, Fission = 10
Frame 370: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 371: Fussion_2 = 2, Fussion_1 = 1, Fission = 2
