Frames that have non-zero fusion/fission events (chunk-based):
Frame 144: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 145: Fussion_2 = 0, Fussion_1 = 4, Fission = 4
Frame 146: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 147: Fussion_2 = 3, Fussion_1 = 3, Fission = 5
Frame 148: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 149: Fussion_2 = 1, Fussion_1 = 4, Fission = 6
Frame 150: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 151: Fussion_2 = 2, Fussion_1 = 3, Fission = 7
Frame 152: Fussion_2 = 4, Fussion_1 = 3, Fission = 6
Frame 153: Fussion_2 = 3, Fussion_1 = 5, Fission = 12
Frame 154: Fussion_2 = 3, Fussion_1 = 2, Fission = 4
Frame 155: Fussion_2 = 3, Fussion_1 = 3, Fission = 5
Frame 156: Fussion_2 = 5, Fussion_1 = 3, Fission = 6
Frame 157: Fussion_2 = 0, Fussion_1 = 1, Fission = 1
Frame 158: Fussion_2 = 3, Fussion_1 = 5, Fission = 7
Frame 159: Fussion_2 = 3, Fussion_1 = 8, Fission = 11
Frame 160: Fussion_2 = 1, Fussion_1 = 4, Fission = 4
Frame 161: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 162: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 163: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 164: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 165: Fussion_2 = 2, Fussion_1 = 3, Fission = 6
Frame 166: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 167: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 168: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 169: Fussion_2 = 0, Fussion_1 = 2, Fission = 3
Frame 170: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 171: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 172: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 173: Fussion_2 = 3, Fussion_1 = 1, Fission = 3
Frame 174: Fussion_2 = 1, Fussion_1 = 4, Fission = 7
Frame 175: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 176: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 177: Fussion_2 = 4, Fussion_1 = 4, Fission = 7
Frame 178: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 179: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 180: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 181: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 182: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 183: Fussion_2 = 2, Fussion_1 = 0, Fission = 1
Frame 184: Fussion_2 = 1, Fussion_1 = 4, Fission = 7
Frame 185: Fussion_2 = 1, Fussion_1 = 2, Fission = 2
Frame 186: Fussion_2 = 2, Fussion_1 = 2, Fission = 6
Frame 187: Fussion_2 = 0, Fussion_1 = 1, Fission = 1
Frame 188: Fussion_2 = 2, Fussion_1 = 4, Fission = 6
Frame 189: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 190: Fussion_2 = 2, Fussion_1 = 7, Fission = 8
Frame 191: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 192: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 193: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 194: Fussion_2 = 1, Fussion_1 = 2, Fission = 6
Frame 195: Fussion_2 = 1, Fussion_1 = 3, Fission = 5
Frame 196: Fussion_2 = 0, Fussion_1 = 3, Fission = 4
Frame 197: Fussion_2 = 1, Fussion_1 = 6, Fission = 5
Frame 198: Fussion_2 = 2, Fussion_1 = 4, Fission = 6
Frame 199: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 200: Fussion_2 = 2, Fussion_1 = 3, Fission = 4
Frame 201: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
