Volume_pre,Volume_post,Distance,Nearest Label,isFusion,Frame,Label
0.4824843767593901,0.5078782913256739,14.136339306514945,6.0,1.0,8.0,2.0
1.0252793006137042,0.6348478641570923,11.425417550574958,3.0,1.0,8.0,2.0
2.1775281740588266,2.129914584247045,39.22088580466291,8.0,1.0,8.0,2.0
6.075494059983374,4.653434844271487,1.118033988749895,2.0,1.0,9.0,2.0
0.0730075043780656,0.0,21.95243181881959,13.0,1.0,9.0,2.0
0.2317194704173387,0.3237724107201171,11.527792503337315,1.0,1.0,9.0,2.0
0.5078782913256739,1.326832036088323,13.939681723859415,6.0,1.0,9.0,2.0
0.6348478641570923,0.5427949238543139,6.269554381927291,3.0,1.0,9.0,2.0
2.129914584247045,2.1330888235678303,33.136554588550695,8.0,1.0,9.0,2.0
4.653434844271487,4.640737886988345,1.118033988749895,2.0,1.0,10.0,2.0
