Volume_pre,Volume_post,diff,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
0.45905889,0.0,-1.0,12.61227356,23.0,1.0,18.0,26.0,1.0,1.0
1.683215929,2.486568986,0.477272727,4.755705577,57.0,1.0,18.0,26.0,1.0,1.0
2.257039541,2.639588616,0.169491525,9.382015893,66.0,1.0,18.0,26.0,1.0,1.0
2.907372968,2.601333708,-0.105263158,9.422375679,19.0,1.0,18.0,26.0,1.0,1.0
3.63421621,2.295294449,-0.368421053,8.859543574,29.0,1.0,18.0,26.0,1.0,1.0
7.459706958,3.213412228,-0.569230769,4.627343587,26.0,1.0,19.0,26.0,1.0,1.0
1.032882502,2.218784634,1.148148148,7.640948095,46.0,1.0,19.0,26.0,1.0,1.0
1.185902132,1.109392317,-0.064516129,10.30581534,16.0,1.0,19.0,26.0,1.0,1.0
1.568451207,1.644961021,0.048780488,16.12017997,35.0,1.0,19.0,26.0,1.0,1.0
2.295294449,3.098647506,0.35,3.250118706,29.0,1.0,19.0,26.0,1.0,1.0
2.486568986,1.185902132,-0.523076923,3.933474574,57.0,1.0,19.0,26.0,1.0,1.0
2.601333708,1.606706114,-0.382352941,9.458172723,19.0,1.0,19.0,26.0,1.0,1.0
2.639588616,1.759725744,-0.333333333,9.946966812,66.0,1.0,19.0,26.0,1.0,1.0
3.213412228,2.410059171,-0.25,2.343314802,26.0,1.0,20.0,26.0,1.0,0.0
0.497313797,0.0,-1.0,9.400050359,49.0,1.0,20.0,26.0,1.0,0.0
0.61207852,0.0,-1.0,3.593070588,38.0,1.0,20.0,26.0,1.0,0.0
1.109392317,3.366431858,2.034482759,16.342047,16.0,1.0,20.0,26.0,1.0,0.0
1.606706114,1.721470836,0.071428571,4.924428901,19.0,1.0,20.0,26.0,1.0,0.0
2.218784634,2.333549356,0.051724138,7.110705322,46.0,1.0,20.0,26.0,1.0,0.0
3.098647506,4.973137972,0.604938272,1.802775638,29.0,1.0,20.0,26.0,1.0,0.0
2.410059171,1.185902132,-0.507936508,1.131923142,26.0,1.0,21.0,26.0,1.0,1.0
2.333549356,0.0,-1.0,8.359957469,46.0,1.0,21.0,26.0,1.0,1.0
4.973137972,8.798628719,0.769230769,3.140771734,29.0,1.0,21.0,26.0,1.0,1.0
1.185902132,5.087902694,3.290322581,1.943067216,26.0,1.0,22.0,26.0,1.0,1.0
1.415431577,2.754353338,0.945945946,5.217491947,19.0,1.0,22.0,26.0,1.0,1.0
2.333549356,2.945627876,0.262295082,4.619293072,16.0,1.0,22.0,26.0,1.0,1.0
8.798628719,3.557706395,-0.595652174,6.067526352,29.0,1.0,22.0,26.0,1.0,1.0
