Volume_pre,Volume_post,Distance,Nearest_Label,y_corr,x_corr,Volume_diff,isFusion,Frame,Label
0.0,0.0,0.0,0.0,125.4225352112676,266.80281690140845,-0.40499999999999936,0.0,27.0,1.0
0.0,0.0,0.0,0.0,136.80246913580248,253.74074074074073,-0.40499999999999936,0.0,27.0,1.0
0.4725,0.3825,6.175788141463576,0.0,124.42857142857143,232.9047619047619,-0.7199999999999998,0.0,32.0,1.0
0.495,0.3825,6.175788141463576,0.0,190.9090909090909,212.9090909090909,-0.7199999999999998,0.0,32.0,1.0
3.5775,1.485,3.237044647496631,1.0,134.9308176100629,264.1823899371069,-0.7199999999999998,0.0,32.0,1.0
0.0,0.0,0.0,0.0,112.29577464788733,223.23239436619718,0.7649999999999997,1.0,32.0,1.0
0.0,0.0,0.0,0.0,130.17391304347825,245.15217391304347,0.7649999999999997,1.0,32.0,1.0
0.0,0.0,0.0,0.0,134.9308176100629,264.1823899371069,0.7649999999999997,1.0,32.0,1.0
0.0,0.0,0.0,0.0,112.58503401360544,223.28571428571428,-0.33750000000000036,0.0,34.0,1.0
0.0,0.0,0.0,0.0,133.87214611872147,259.24657534246575,-0.33750000000000036,0.0,34.0,1.0
0.0,0.0,0.0,0.0,112.58503401360544,223.28571428571428,0.40500000000000114,1.0,34.0,1.0
0.0,0.0,0.0,0.0,133.87214611872147,259.24657534246575,0.40500000000000114,1.0,34.0,1.0
0.0,0.0,0.0,0.0,112.40789473684211,223.26315789473685,0.6524999999999999,1.0,48.0,1.0
0.0,0.0,0.0,0.0,133.6431718061674,259.4537444933921,0.6524999999999999,1.0,48.0,1.0
0.0,0.0,0.0,0.0,115.34239130434783,224.94021739130434,-0.8100000000000005,0.0,88.0,1.0
0.0,0.0,0.0,0.0,123.0,270.86842105263156,-0.8100000000000005,0.0,88.0,1.0
0.0,0.0,0.0,0.0,128.04347826086956,241.3913043478261,-0.8100000000000005,0.0,88.0,1.0
0.0,0.0,0.0,0.0,130.77777777777777,249.61111111111111,-0.8100000000000005,0.0,88.0,1.0
0.0,0.0,0.0,0.0,143.2125,262.35,-0.8100000000000005,0.0,88.0,1.0
0.0,0.0,0.0,0.0,113.03246753246754,223.55194805194805,-1.1024999999999991,0.0,89.0,1.0
0.0,0.0,0.0,0.0,122.0,272.85185185185185,-1.1024999999999991,0.0,89.0,1.0
0.0,0.0,0.0,0.0,130.0,245.5,-1.1024999999999991,0.0,89.0,1.0
0.0,0.0,0.0,0.0,141.340206185567,261.44329896907215,-1.1024999999999991,0.0,89.0,1.0
0.0,0.0,0.0,0.0,110.33333333333333,226.7450980392157,-0.9449999999999994,0.0,91.0,1.0
0.0,0.0,0.0,0.0,118.36842105263158,215.3421052631579,-0.9449999999999994,0.0,91.0,1.0
0.0,0.0,0.0,0.0,122.3,272.5,-0.9449999999999994,0.0,91.0,1.0
0.0,0.0,0.0,0.0,141.11881188118812,261.13861386138615,-0.9449999999999994,0.0,91.0,1.0
0.495,0.54,2.353720459187961,0.0,126.125,263.125,0.47250000000000014,1.0,91.0,1.0
1.6875,2.295,4.590773355329153,1.0,110.33333333333333,226.7450980392157,0.47250000000000014,1.0,91.0,1.0
0.54,0.495,2.214128917634492,0.0,126.58333333333333,263.2083333333333,-1.4624999999999995,0.0,93.0,1.0
0.9225,0.495,2.214128917634492,0.0,127.46341463414635,236.8780487804878,-1.4624999999999995,0.0,93.0,1.0
0.0,0.0,0.0,0.0,104.43859649122807,226.3859649122807,-2.5425000000000004,0.0,95.0,1.0
0.0,0.0,0.0,0.0,118.78947368421052,215.44736842105263,-2.5425000000000004,0.0,95.0,1.0
0.0,0.0,0.0,0.0,140.55855855855856,260.6936936936937,-2.5425000000000004,0.0,95.0,1.0
0.4725,1.2825,4.101634698777564,0.0,124.3157894736842,267.8421052631579,1.9125000000000005,1.0,95.0,1.0
0.4725,1.2825,4.101634698777564,0.0,126.35087719298245,236.49122807017545,1.9125000000000005,1.0,95.0,1.0
0.0,0.0,0.0,0.0,110.25510204081633,227.1326530612245,-0.5625000000000009,0.0,97.0,1.0
0.0,0.0,0.0,0.0,118.5,215.73529411764707,-0.5625000000000009,0.0,97.0,1.0
0.0,0.0,0.0,0.0,122.5,272.39285714285717,-0.5625000000000009,0.0,97.0,1.0
0.0,0.0,0.0,0.0,140.4245283018868,260.52830188679246,-0.5625000000000009,0.0,97.0,1.0
